"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,21
"2","HY0371",16.82,25
"3","HY0371",12.15,7
"4","HY0381",33.64,87
"5","HY0386",35.51,164
"6","HY0402",33.64,75
"7","HY0495",33.64,136
"8","HY0509",14.02,8
"9","HY0517",33.64,47
"10","HY0558",28.04,222
"11","HY0593",24.3,5
"12","HY0715",42.99,1
"13","HY0737",26.17,164
"14","HY0797",31.78,63
"15","HY0922",20.56,1
"16","HY0926",31.78,15
"17","HY0932",36.45,9
"18","HY0938",26.17,2
"19","HY0976",31.78,1
"20","HY1008",22.43,4
"21","HY1008",28.04,1
"22","HY1014",25.23,4
"23","HY1034",27.1,3
"24","HY1053",39.25,18
"25","HY1072",31.78,2
"26","HY1078",33.64,5
"27","HY1078",27.1,1
"28","HY1083",25.23,3
"29","HY1083",21.5,1
"30","HY1092",20.56,3
"31","HY1093",39.25,4
"32","HY1095",31.78,1
"33","HY1095",29.6,3
"34","HY1095",25.23,2
"35","HY1101",42.06,2
"36","HY1108",25.23,4
"37","HY1109",32.01,4
"38","HY1112",64.49,4
"39","HY1113",39.25,17
"40","HY1114",29.91,4
"41","HY1120",33.64,1
"42","HY1120",28.74,4
"43","HY1126",20.56,1
"44","HY1126",22.12,3
"45","HY1126",25.23,3
"46","HY1132",27.1,3
"47","HY1133",27.1,11
"48","HY1138",33.64,6
"49","HY1142",35.51,44
"50","HY1155",35.51,1
"51","HY1161",25.23,14
"52","HY1162",26.17,1
"53","HY1166",21.5,12
"54","HY1173",22.43,2
"55","HY1179",30.37,2
"56","HY1184",27.1,2
"57","HY1185",28.04,1
"58","HY1191",28.04,35
"59","HY1198",27.1,2
"60","HY1199",48.6,83
"61","HY1207",45.79,8
"62","HY1209",42.06,1
"63","HY1210",22.43,1
"64","HY1219",31.78,3
"65","HY1221",25.23,1
"66","HY1224",28.04,8
"67","HY1230",64.49,1
"68","HY1232",73.83,1
"69","HY1236",44.86,4
"70","HY1238",31.78,7
"71","HY1239",32.71,2
"72","HY1240",29.91,53
"73","HY1242",25.23,3
"74","HY1242",31.78,2
"75","HY1246",33.64,4
"76","HY1247",20.56,1
"77","HY1252",21.5,1
"78","HY1252",27.1,1
"79","HY1253",26.17,27
"80","HY1254",27.1,6
"81","HY1255",27.1,3
"82","HY1258",21.5,1
"83","HY1258",27.1,1
"84","HY1260",27.1,2
