"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,24
"2","HY0381",33.64,16
"3","HY0402",33.64,14
"4","HY0451",25.23,5
"5","HY0451",25.5,7
"6","HY0451",25.7,4
"7","HY0495",33.64,13
"8","HY0517",33.64,15
"9","HY0943",33.64,4
"10","HY0953",25.86,3
"11","HY0953",27.1,2
"12","HY0957",35.51,7
"13","HY0965",31.78,9
"14","HY0984",35.51,169
"15","HY1002",33.64,1
"16","HY1002",36.45,1
"17","HY1004",33.64,2
"18","HY1034",27.1,11
"19","HY1034",27.34,8
"20","HY1034",28.97,6
"21","HY1039",34,5
"22","HY1054",33.64,5
"23","HY1067",39.25,7
"24","HY1071",28.97,18
"25","HY1071",29.64,7
"26","HY1072",31.78,12
"27","HY1074",27.1,12
"28","HY1077",27.1,24
"29","HY1079",45.79,2
"30","HY1086",39.25,26
"31","HY1089",27.1,4
"32","HY1095",31.78,11
"33","HY1096",33.64,115
"34","HY1099",27.1,2
"35","HY1109",33.64,1
"36","HY1112",64.49,7
"37","HY1113",39.25,3
"38","HY1119",33.64,14
"39","HY1120",33.64,4
"40","HY1138",42.06,1
"41","HY1141",35.51,10
"42","HY1166",27.1,15
"43","HY1175",33.64,179
"44","HY1178",33.64,50
"45","HY1179",33.64,1
"46","HY1195",39.25,1
"47","HY1199",48.6,5
"48","HY1206",33.64,93
"49","HY1207",45.79,10
"50","HY1209",42.06,2
"51","HY1211",33.64,5
"52","HY1229",45.79,1
"53","HY1230",64.49,3
"54","HY1232",73.83,2
"55","HY1236",44.86,2
"56","HY1238",31.78,8
"57","HY1239",36.45,3
"58","HY1242",31.78,8
"59","HY1246",33.64,23
"60","HY1262",42.06,81
"61","HY1263",35.51,3
"62","HY1267",35.51,9
"63","HY1274",33.64,365
"64","HY1276",33.64,10
"65","HY1277",42.06,26
"66","HY1311",33.64,1
"67","HY1312",35.51,16
"68","HY1314",33.64,16
"69","HY1325",33.64,24
"70","HY1326",33.64,13
"71","HY1335",33.64,16
"72","HY1337",33.64,163
"73","HY1339",31.78,33
"74","HY1345",33.64,24
"75","HY1348",35.51,18
"76","HY1349",35.51,51
"77","HY1353",35.51,150
"78","HY1364",33.64,8
"79","HY1366",31.78,14
"80","HY1368",33.64,6
"81","HY1371",31.78,244
"82","HY1381",33.64,92
"83","HY1382",33.64,31
"84","HY1383",31.78,40
"85","HY1385",35.51,10
"86","HY1388",33.64,152
"87","HY1392",35.51,24
"88","HY1395",35.51,2
"89","HY1405",35.51,20
"90","HY1410",33.64,150
"91","HY1411",33.64,84
"92","HY1415",35.51,436
"93","HY1420",36.45,122
"94","HY1430",35.51,392
"95","HY1436",36.45,231
"96","HY1442",37.38,63
"97","HY1459",33.64,217
"98","HY1503",33.64,368
