"","X","DESIGN","Average.Price","V1","DesignCode"
"1",1,"HY0042",44.86,24,"DCV"
"2",2,"HY0381",33.64,16,"DTB"
"3",3,"HY0402",33.64,14,"DTG"
"4",4,"HY0451",25.23,5,"DPE"
"5",5,"HY0451",25.5,7,"DPE"
"6",6,"HY0451",25.7,4,"DPE"
"7",7,"HY0495",33.64,13,"DTB"
"8",8,"HY0517",33.64,15,"DSK"
"9",9,"HY0943",33.64,4,"DSK"
"10",10,"HY0953",25.86,3,"DPE"
"11",11,"HY0953",27.1,2,"DPE"
"12",12,"HY0957",35.51,7,"DPE"
"13",13,"HY0965",31.78,9,"DTB"
"14",14,"HY0984",35.51,169,"MAX"
"15",15,"HY1002",33.64,1,"MAX"
"16",16,"HY1002",36.45,1,"MAX"
"17",17,"HY1004",33.64,2,NA
"18",18,"HY1034",27.1,11,"DST"
"19",19,"HY1034",27.34,8,"DST"
"20",20,"HY1034",28.97,6,"DST"
"21",21,"HY1039",34,5,NA
"22",22,"HY1054",33.64,5,NA
"23",23,"HY1067",39.25,7,"DSK"
"24",24,"HY1071",28.97,18,"DSH"
"25",25,"HY1071",29.64,7,"DSH"
"26",26,"HY1072",31.78,12,"DPE"
"27",27,"HY1074",27.1,12,"DSK"
"28",28,"HY1077",27.1,24,"DSK"
"29",29,"HY1079",45.79,2,"MSL"
"30",30,"HY1086",39.25,26,"DSK"
"31",31,"HY1089",27.1,4,"DSK"
"32",32,"HY1095",31.78,11,"DSL"
"33",33,"HY1096",33.64,115,"DSK"
"34",34,"HY1099",27.1,2,"DPE"
"35",35,"HY1109",33.64,1,"DPE"
"36",36,"HY1112",64.49,7,"DTG"
"37",37,"HY1113",39.25,3,"DTB"
"38",38,"HY1119",33.64,14,NA
"39",39,"HY1120",33.64,4,"DSK"
"40",40,"HY1138",42.06,1,"DTB"
"41",41,"HY1141",35.51,10,NA
"42",42,"HY1166",27.1,15,"MSL"
"43",43,"HY1175",33.64,179,"DSK"
"44",44,"HY1178",33.64,50,"DPE"
"45",45,"HY1179",33.64,1,NA
"46",46,"HY1195",39.25,1,NA
"47",47,"HY1199",48.6,5,"DSK"
"48",48,"HY1206",33.64,93,"DST"
"49",49,"HY1207",45.79,10,"DPE"
"50",50,"HY1209",42.06,2,"DSK"
"51",51,"HY1211",33.64,5,NA
"52",52,"HY1229",45.79,1,"DSK"
"53",53,"HY1230",64.49,3,"DSK"
"54",54,"HY1232",73.83,2,NA
"55",55,"HY1236",44.86,2,"DTB"
"56",56,"HY1238",31.78,8,"DTB"
"57",57,"HY1239",36.45,3,"MLS"
"58",58,"HY1242",31.78,8,"DST"
"59",59,"HY1246",33.64,23,"DSK"
"60",60,"HY1262",42.06,81,"DST"
"61",61,"HY1263",35.51,3,"DPE"
"62",62,"HY1267",35.51,9,"DSK"
"63",63,"HY1274",33.64,365,"DSK"
"64",64,"HY1276",33.64,10,"DPE"
"65",65,"HY1277",42.06,26,"DSK"
"66",66,"HY1311",33.64,1,NA
"67",67,"HY1312",35.51,16,"DSK"
"68",68,"HY1314",33.64,16,"DSK"
"69",69,"HY1325",33.64,24,"DSK"
"70",70,"HY1326",33.64,13,"DSK"
"71",71,"HY1335",33.64,16,"DPE"
"72",72,"HY1337",33.64,163,"DST"
"73",73,"HY1339",31.78,33,"DPE"
"74",74,"HY1345",33.64,24,"MAX"
"75",75,"HY1348",35.51,18,"DST"
"76",76,"HY1349",35.51,51,"DSK"
"77",77,"HY1353",35.51,150,NA
"78",78,"HY1364",33.64,8,NA
"79",79,"HY1366",31.78,14,"MSL"
"80",80,"HY1368",33.64,6,NA
"81",81,"HY1371",31.78,244,NA
"82",82,"HY1381",33.64,92,"DSK"
"83",83,"HY1382",33.64,31,"DSK"
"84",84,"HY1383",31.78,40,NA
"85",85,"HY1385",35.51,10,"DSK"
"86",86,"HY1388",33.64,152,"DSH"
"87",87,"HY1392",35.51,24,"DST"
"88",88,"HY1395",35.51,2,NA
"89",89,"HY1405",35.51,20,"DPE"
"90",90,"HY1410",33.64,150,"DSK"
"91",91,"HY1411",33.64,84,NA
"92",92,"HY1415",35.51,436,"DSK"
"93",93,"HY1420",36.45,122,"DSK"
"94",94,"HY1430",35.51,392,"DSK"
"95",95,"HY1436",36.45,231,NA
"96",96,"HY1442",37.38,63,"DSK"
"97",97,"HY1459",33.64,217,"DST"
"98",98,"HY1503",33.64,368,NA
