"","DESIGN","Average.Price","V1","DesignCode"
"1","HY0042",44.86,30,"DCV"
"2","HY0381",33.64,20,"DTB"
"3","HY0402",33.64,9,"DTG"
"4","HY0451",25.23,1,NA
"5","HY0451",17.76,5,NA
"6","HY0451",17.22,7,NA
"7","HY0451",15.89,1,NA
"8","HY0495",33.64,29,"DTB"
"9","HY0506",14.95,9,NA
"10","HY0517",33.64,16,"DSK"
"11","HY0874",33.64,1,NA
"12","HY0879",31.78,3,NA
"13","HY0888",45.79,2,NA
"14","HY0894",19.63,14,NA
"15","HY0932",22.9,43,"MLS"
"16","HY0932",26.29,4,"MLS"
"17","HY0932",27.41,12,"MLS"
"18","HY0932",23.87,14,"MLS"
"19","HY0932",24.83,7,"MLS"
"20","HY0943",33.64,6,NA
"21","HY0951",17.76,3,NA
"22","HY0953",15.89,4,NA
"23","HY0955",33.64,2,NA
"24","HY0956",33.64,1,NA
"25","HY0957",35.51,4,NA
"26","HY0959",39.25,2,NA
"27","HY0965",27.1,4,NA
"28","HY0965",18.69,8,NA
"29","HY0965",17.49,14,NA
"30","HY0965",23.36,3,NA
"31","HY0965",15.89,1,NA
"32","HY0979",31.78,3,NA
"33","HY0980",33.64,4,NA
"34","HY0984",35.51,1,NA
"35","HY0986",33.64,1,NA
"36","HY0999",35.51,1,NA
"37","HY1002",21.5,2,NA
"38","HY1003",31.78,1,NA
"39","HY1011",35.51,1,NA
"40","HY1014",15.89,13,"MAX"
"41","HY1014",17.22,7,"MAX"
"42","HY1017",33.64,3,"DSK"
"43","HY1018",31.78,3,NA
"44","HY1024",33.64,4,"DSK"
"45","HY1034",16.82,41,"DST"
"46","HY1034",17.7,35,"DST"
"47","HY1034",23.68,3,"DST"
"48","HY1034",20.25,3,"DST"
"49","HY1034",19.39,4,"DST"
"50","HY1047",42.06,6,"DPE"
"51","HY1050",33.64,4,NA
"52","HY1066",39.25,4,NA
"53","HY1067",19.63,43,"DSK"
"54","HY1067",26.17,6,"DSK"
"55","HY1067",21.14,13,"DSK"
"56","HY1067",21.81,9,"DSK"
"57","HY1067",32.71,3,"DSK"
"58","HY1067",22.43,7,"DSK"
"59","HY1069",33.64,11,NA
"60","HY1071",28.97,1,NA
"61","HY1071",16.82,1,NA
"62","HY1072",31.78,6,"DPE"
"63","HY1074",23.36,6,NA
"64","HY1077",27.1,7,NA
"65","HY1077",25.23,6,NA
"66","HY1079",45.79,8,"MSL"
"67","HY1086",33.96,9,NA
"68","HY1088",31.78,19,NA
"69","HY1089",16.82,1,NA
"70","HY1090",31.78,5,NA
"71","HY1093",24.3,93,"DPE"
"72","HY1093",27.29,10,"DPE"
"73","HY1093",24.69,38,"DPE"
"74","HY1095",31.78,5,"DSL"
"75","HY1096",33.64,24,NA
"76","HY1099",16.82,1,NA
"77","HY1101",42.06,4,"DST"
"78","HY1104",36.45,2,NA
"79","HY1107",15.89,118,NA
"80","HY1108",15.89,99,"DPE"
"81","HY1108",17.22,7,"DPE"
"82","HY1108",16.65,37,"DPE"
"83","HY1109",33.64,8,"DPE"
"84","HY1110",39.25,3,"DSK"
"85","HY1112",64.49,5,"DTG"
"86","HY1113",39.25,8,"DTB"
"87","HY1120",33.64,6,"DSK"
"88","HY1124",44.86,1,"DTB"
"89","HY1132",16.82,123,"DTB"
"90","HY1133",16.82,47,"DTB"
"91","HY1133",17.58,27,"DTB"
"92","HY1133",17.85,10,"DTB"
"93","HY1133",18.24,29,"DTB"
"94","HY1133",17.07,42,"DTB"
"95","HY1133",18.88,5,"DTB"
"96","HY1134",33.64,6,NA
"97","HY1137",39.25,2,NA
"98","HY1138",21.5,42,"DTB"
"99","HY1138",23.93,5,"DTB"
"100","HY1138",24.43,7,"DTB"
"101","HY1143",33.64,7,NA
"102","HY1146",31.78,3,"DSK"
"103","HY1147",33.64,9,NA
"104","HY1148",31.78,5,NA
"105","HY1156",31.78,3,NA
"106","HY1159",31.78,3,NA
"107","HY1161",15.89,157,"DSK"
"108","HY1166",14.64,12,"MSL"
"109","HY1166",14.95,28,"MSL"
"110","HY1166",17.51,15,"MSL"
"111","HY1166",14.02,65,"MSL"
"112","HY1166",14.77,35,"MSL"
