"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,20
"2","HY0381",33.64,25
"3","HY0402",33.64,29
"4","HY0495",33.64,43
"5","HY0517",33.64,32
"6","HY0932",36.45,6
"7","HY1004",33.64,2
"8","HY1005",35.51,2
"9","HY1014",25.23,2
"10","HY1017",33.64,2
"11","HY1024",33.64,7
"12","HY1034",27.1,1
"13","HY1047",33.64,2
"14","HY1067",31.78,1
"15","HY1072",31.78,2
"16","HY1079",45.79,2
"17","HY1093",39.25,2
"18","HY1095",31.78,5
"19","HY1101",42.06,5
"20","HY1108",25.23,1
"21","HY1109",33.64,3
"22","HY1110",39.25,1
"23","HY1112",64.49,9
"24","HY1113",39.25,7
"25","HY1119",33.64,1
"26","HY1120",33.64,2
"27","HY1124",44.86,3
"28","HY1125",33.64,3
"29","HY1132",27.1,4
"30","HY1133",27.1,8
"31","HY1133",25.39,6
"32","HY1138",33.64,1
"33","HY1139",42.06,1
"34","HY1141",35.51,1
"35","HY1146",25.23,13
"36","HY1161",25.23,15
"37","HY1166",21.5,14
"38","HY1175",33.64,5
"39","HY1179",33.64,2
"40","HY1184",27.1,7
"41","HY1186",35.51,1
"42","HY1195",39.25,1
"43","HY1199",48.6,12
"44","HY1206",33.64,1
"45","HY1207",45.79,4
"46","HY1209",42.06,2
"47","HY1211",33.64,1
"48","HY1221",25.23,2
"49","HY1230",64.49,1
"50","HY1235",42.06,1
"51","HY1236",44.86,7
"52","HY1238",31.78,8
"53","HY1239",36.45,1
"54","HY1242",31.78,2
"55","HY1246",33.64,19
"56","HY1259",33.64,8
"57","HY1262",42.06,23
"58","HY1263",35.51,2
"59","HY1267",35.51,4
"60","HY1269",35.51,3
"61","HY1274",33.64,16
"62","HY1276",33.64,6
"63","HY1277",42.06,31
"64","HY1278",39.25,20
"65","HY1309",33.64,15
"66","HY1311",33.64,10
"67","HY1312",35.51,2
"68","HY1314",33.64,5
"69","HY1325",33.64,8
"70","HY1337",33.64,27
"71","HY1339",31.78,8
"72","HY1345",33.64,4
"73","HY1346",31.78,43
"74","HY1347",33.64,174
"75","HY1348",35.51,4
"76","HY1349",35.51,28
"77","HY1355",39.25,170
"78","HY1364",33.64,20
"79","HY1368",33.64,3
"80","HY1371",31.78,45
"81","HY1375",44.86,43
"82","HY1376",33.64,95
"83","HY1381",33.64,13
"84","HY1385",35.51,3
"85","HY1392",35.51,2
"86","HY1395",35.51,5
"87","HY1399",44.86,222
"88","HY1405",35.51,5
"89","HY1420",36.45,3
"90","HY1422",42.06,3
"91","HY1431",35.51,6
"92","HY1437",36.45,249
"93","HY1442",37.38,21
"94","HY1446",35.51,2
"95","HY1458",45.79,100
"96","HY1459",33.64,11
"97","HY1460",33.64,14
"98","HY1469",33.64,113
"99","HY1478",33.64,171
"100","HY1497",31.78,19
"101","HY1501",31.78,1
"102","HY1502",33.64,5
"103","HY1505",31.78,175
"104","HY1508",33.64,196
"105","HY1510",31.78,30
"106","HY1516",31.78,261
"107","HY1522",33.64,14
"108","HY1528",31.78,9
"109","HY1530",35.51,357
"110","HY1532",33.64,291
"111","HY1533",33.64,107
"112","HY1541",31.78,376
"113","HY1542",33.64,375
"114","HY1543",33.64,84
"115","HY1544",33.64,19
"116","HY1551",33.64,145
"117","HY1552",33.64,148
"118","HY1559",35.51,52
"119","HY1567",45.79,320
"120","HY1573",35.51,358
"121","HY1604",33.64,294
"122","HY1605",33.64,272
"123","HY1627",33.64,91
