"","SKU","V1"
"1","HY0381",649
"2","HY0386",685
"3","HY0402",351
"4","HY0495",899
"5","HY0943",2
"6","HY0965",2
"7","HY0980",2
"8","HY1014",35
"9","HY1017",2
"10","HY1018",2
"11","HY1024",42
"12","HY1034",40
"13","HY1047",9
"14","HY1067",4
"15","HY1072",25
"16","HY1088",5
"17","HY1095",75
"18","HY1097",5
"19","HY1101",25
"20","HY1108",52
"21","HY1109",47
"22","HY1110",5
"23","HY1120",32
"24","HY1124",5
"25","HY1132",46
"26","HY1142",396
"27","HY1146",85
"28","HY1160",2
"29","HY1161",219
"30","HY1175",46
"31","HY1179",5
"32","HY1184",69
"33","HY1186",2
"34","HY1206",7
"35","HY1210",32
"36","HY1221",37
"37","HY1224",121
"38","HY1238",133
"39","HY1239",25
"40","HY1242",51
"41","HY1246",127
"42","HY1259",35
"43","HY1261",359
"44","HY1262",290
"45","HY1263",46
"46","HY1266",534
"47","HY1269",69
"48","HY1273",72
"49","HY1274",108
"50","HY1275",92
"51","HY1276",30
"52","HY1280",24
"53","HY1281",10
"54","HY1290",146
"55","HY1309",108
"56","HY1310",12
"57","HY1311",40
"58","HY1312",7
"59","HY1313",92
"60","HY1325",148
"61","HY1326",5
"62","HY1335",60
"63","HY1337",254
"64","HY1338",110
"65","HY1339",119
"66","HY1340",279
"67","HY1345",66
"68","HY1346",137
"69","HY1347",318
"70","HY1348",78
"71","HY1349",72
"72","HY1353",170
"73","HY1364",35
"74","HY1368",5
"75","HY1371",199
"76","HY1376",270
"77","HY1381",256
"78","HY1382",5
"79","HY1385",25
"80","HY1392",60
"81","HY1395",4
"82","HY1405",50
"83","HY1412",419
"84","HY1420",64
"85","HY1428",120
"86","HY1430",433
"87","HY1436",181
"88","HY1437",230
"89","HY1442",242
"90","HY1446",121
"91","HY1459",278
"92","HY1460",22
"93","HY1469",160
"94","HY1473",61
"95","HY1478",444
"96","HY1497",414
"97","HY1498",107
"98","HY1502",34
"99","HY1503",114
"100","HY1505",10
"101","HY1508",213
"102","HY1510",61
"103","HY1514",84
"104","HY1516",535
"105","HY1517",221
"106","HY1518",467
"107","HY1519",134
"108","HY1522",85
"109","HY1528",5
"110","HY1529",556
"111","HY1530",404
"112","HY1532",210
"113","HY1533",326
"114","HY1534",171
"115","HY1541",434
"116","HY1542",585
"117","HY1543",328
"118","HY1551",211
"119","HY1552",216
"120","HY1559",434
"121","HY1567",219
"122","HY1571",286
"123","HY1573",389
"124","HY1594",646
"125","HY1595",688
"126","HY1596",154
"127","HY1601",458
"128","HY1605",787
"129","HY1612",614
"130","HY1613",360
"131","HY1623",220
"132","HY1626",140
"133","HY1627",449
"134","HY1633",450
"135","HY1647",406
"136","HY1648",182
"137","HY1656",128
"138","HY1675",97
"139","HY1684",350
