,DESIGN,Average.Price,Quantity,DesignCode,STREAMLINE
1,HY0042,44.86,21,DCV,DRESS
2,HY0381,33.64,87,DTB,DRESS
3,HY0402,33.64,75,DTG,DRESS
4,HY0495,33.64,136,DTB,DRESS
5,HY0517,33.64,47,DSK,DRESS
6,HY0932,36.45,9,MLS,COVET
7,HY1014,25.23,4,MAX,DRESS
8,HY1034,27.1,3,DST,DRESS
9,HY1072,31.78,2,DSL,DRESS
10,HY1093,39.25,4,DLS,DRESS
11,HY1095,31.78,1,DSL,DRESS
12,HY1095,29.6,3,DSL,DRESS
13,HY1095,25.23,2,DSL,DRESS
14,HY1101,42.06,2,DST,DRESS
15,HY1108,25.23,4,DPE,DRESS
16,HY1109,32.01,4,DPE,DRESS
17,HY1112,64.49,4,DTG,COVET
18,HY1113,39.25,17,DTB,COVET
19,HY1120,33.64,1,DSK,DRESS
20,HY1120,28.74,4,DSK,DRESS
21,HY1132,27.1,3,DTB,DRESS
22,HY1133,27.1,11,DTB,PETITE
23,HY1138,33.64,6,DTB,COVET
24,HY1161,25.23,14,DST,DRESS
25,HY1166,21.5,12,MSL,DRESS
26,HY1179,30.37,2,DPE,DRESS
27,HY1184,27.1,2,DTB,DRESS
28,HY1199,48.6,83,DSK,COVET
29,HY1207,45.79,8,DPE,COVET
30,HY1209,42.06,1,DSK,COVET
31,HY1221,25.23,1,DSK,COVET
32,HY1230,64.49,1,DSK,DRESS
33,HY1232,73.83,1,DSK,DRESS
34,HY1236,44.86,4,DTB,DRESS
35,HY1238,31.78,7,DTB,PETITE
36,HY1239,32.71,2,MLS,DRESS
37,HY1242,25.23,3,DST,DRESS
38,HY1242,31.78,2,DST,DRESS
39,HY1246,33.64,4,DSK,DRESS
40,HY1262,42.06,16,DST,DRESS
41,HY1263,35.51,4,DPE,DRESS
42,HY1269,35.51,2,DPE,DRESS
43,HY1274,33.64,3,DSK,DRESS
44,HY1276,33.64,2,DPE,DRESS
45,HY1277,42.06,76,DSK,DRESS
46,HY1278,39.25,99,DSK,DRESS
47,HY1309,33.64,4,DPE,DRESS
48,HY1314,33.64,2,DSK,PETITE
49,HY1325,33.64,17,DSK,DRESS
50,HY1335,27.1,10,DPE,DRESS
51,HY1337,33.64,21,DST,DRESS
52,HY1339,31.78,8,DPE,DRESS
53,HY1345,33.64,2,MAX,DRESS
54,HY1346,31.78,3,DSK,DRESS
55,HY1347,33.64,16,DPE,DRESS
56,HY1348,35.51,3,DST,DRESS
57,HY1349,35.51,4,DSK,DRESS
58,HY1353,35.51,20,DPE,DRESS
59,HY1355,39.25,44,DST,DRESS
60,HY1371,31.78,5,DPE,DRESS
61,HY1375,44.86,15,DSK,COVET
62,HY1376,33.64,15,DPE,DRESS
63,HY1381,33.64,13,DSK,DRESS
64,HY1385,35.51,1,DSK,DRESS
65,HY1392,35.51,2,DST,DRESS
66,HY1399,44.86,54,DSK,COVET
67,HY1405,35.51,8,DPE,DRESS
68,HY1420,36.45,3,DSK,DRESS
69,HY1422,42.06,4,DSK,COVET
70,HY1430,35.51,164,DSK,DRESS
71,HY1436,36.45,57,DPE,DRESS
72,HY1442,37.38,14,DSK,DRESS
73,HY1446,35.51,9,DSK,DRESS
74,HY1458,45.79,15,DSK,COVET
75,HY1459,33.64,15,DST,DRESS
76,HY1469,33.64,31,DPE,DRESS
77,HY1478,33.64,40,DPE,DRESS
78,HY1497,31.78,23,DST,DRESS
79,HY1501,31.78,1,MAX,DRESS
80,HY1505,31.78,1,DSK,DRESS
81,HY1508,33.64,1,DSK,DRESS
82,HY1514,33.64,81,DPE,DRESS
83,HY1516,31.78,55,DST,DRESS
84,HY1522,33.64,3,DSK,DRESS
85,HY1528,31.78,1,DPE,DRESS
86,HY1529,33.64,324,MAX,DRESS
87,HY1530,35.51,8,MAX,DRESS
88,HY1533,33.64,14,DSK,DRESS
89,HY1534,31.78,76,DST,DRESS
90,HY1542,33.64,35,DPE,DRESS
91,HY1543,33.64,13,DSK,DRESS
92,HY1544,33.64,8,DSK,PETITE
93,HY1551,33.64,25,DPE,DRESS
94,HY1552,33.64,20,DSK,DRESS
95,HY1559,35.51,31,DSK,DRESS
96,HY1583,35.51,295,DSK,DRESS
97,HY1594,35.51,372,DPE,DRESS
98,HY1595,35.51,445,DSK,DRESS
99,HY1596,35.51,107,DPE,DRESS
100,HY1601,35.51,543,DSK,DRESS
101,HY1604,33.64,92,DSK,DRESS
102,HY1605,33.64,107,DSK,DRESS
103,HY1609,45.79,132,DSK,DRESS
104,HY1612,39.25,235,DPE,DRESS
105,HY1613,33.64,371,DSH,DRESS
106,HY1623,33.64,171,DPE,DRESS
107,HY1626,39.25,109,DSK,DRESS
108,HY1627,33.64,24,DSK,DRESS
109,HY1633,31.78,131,DPE,DRESS
110,HY1641,42.06,209,DSK,COVET
111,HY1647,33.64,120,DSK,DRESS
112,HY1648,35.51,178,DPE,DRESS
113,HY1656,35.51,78,DTB,DRESS
114,HY1675,35.51,77,DSH,DRESS
115,ML0004,42.06,58,DSK,DRESS
116,ML0006,42.06,39,DST,DRESS
