"","Product.SKU","Custom.Variable..Value.01.","Quantity","Unique.Purchases","Product.Revenue","Average.Price","Average.QTY","indicatorQTC","colourIndicator","colour","age","ageGroup","Design","productName","productCategory"
"340","HY1589-014-M","35;;53513;2014-11-26 15:11:28",1,1,33.64,33.64,1,"H","014","Black",35,"30 - 35","HY1589","Audrina Crochet Pencil Skirt ","Skirt"
"341","HY1589-014-S","28;;10549;2014-12-01 02:19:19",1,1,33.64,33.64,1,"H","014","Black",28,"24 - 29","HY1589","Audrina Crochet Pencil Skirt ","Skirt"
"342","HY1589-031-S","28;;46791;2014-11-26 23:09:54",1,1,33.64,33.64,1,"H","031","White",28,"24 - 29","HY1589","Audrina Crochet Pencil Skirt ","Skirt"
"343","HY1589-031-XS","30;;77143;2014-11-30 19:14:18",1,1,33.64,33.64,1,"H","031","White",30,"30 - 35","HY1589","Audrina Crochet Pencil Skirt ","Skirt"
"399","HY1622-014-S","30;;84518;2014-11-25 21:25:41",1,1,64.49,64.49,1,"H","014","Black",30,"30 - 35","HY1622","Covet Calanthe Coat ","Coat"
"400","HY1622-014-S","31;LB2014GRPS17;14006;2014-11-26 15:12:01",1,1,64.49,64.49,1,"H","014","Black",31,"30 - 35","HY1622","Covet Calanthe Coat ","Coat"
"401","HY1622-052-S","19;;89494;2014-11-27 12:19:20",1,1,64.49,64.49,1,"H","052","Navy Blue",19,"18 - 23","HY1622","Covet Calanthe Coat ","Coat"
"402","HY1622-052-S","21;;70589;2014-11-26 21:51:21",1,1,64.49,64.49,1,"H","052","Navy Blue",21,"18 - 23","HY1622","Covet Calanthe Coat ","Coat"
"403","HY1622-052-S","28;;46791;2014-11-26 23:09:54",1,1,64.49,64.49,1,"H","052","Navy Blue",28,"24 - 29","HY1622","Covet Calanthe Coat ","Coat"
"404","HY1622-052-S","35;LB2014GRPS17;39721;2014-11-26 15:17:48",1,1,64.49,64.49,1,"H","052","Navy Blue",35,"30 - 35","HY1622","Covet Calanthe Coat ","Coat"
"405","HY1622-052-XL","28;;9248;2014-11-26 11:19:13",1,1,64.49,64.49,1,"H","052","Navy Blue",28,"24 - 29","HY1622","Covet Calanthe Coat ","Coat"
"406","HY1622-052-XS","43;yvonneyong368CED706780;85500;2014-11-27 20:43:43",1,1,64.49,64.49,1,"H","052","Navy Blue",43,"Above 35","HY1622","Covet Calanthe Coat ","Coat"
"477","HY1649-000-L","28;;33486;2014-11-30 05:44:10",1,1,31.78,31.78,1,"H","000","No Colour",28,"24 - 29","HY1649","Cytheria Graphic Shorts ","Shorts"
"478","HY1649-000-M","26;LB2014GRPS17;66590;2014-11-26 14:29:52",1,1,31.78,31.78,1,"H","000","No Colour",26,"24 - 29","HY1649","Cytheria Graphic Shorts ","Shorts"
"479","HY1649-000-S","42;adeline7208CED715491;64635;2014-11-28 12:58:59",1,1,31.78,31.78,1,"H","000","No Colour",42,"Above 35","HY1649","Cytheria Graphic Shorts ","Shorts"
